id,city,mayor,date,year,speech_given,collected,type,note,source
new_york_2017,New York,Bill de Blasio,2017-02-13,2017,Yes,Yes,State of the City,NA,https://medium.com/@nycgov/this-is-your-city-6230765d11c
philadelphia_2015,Philadelphia,Michael Nutter,2015-01-29,2015,Yes,Yes,State of the City,Also this media account http://6abc.com/politics/mayor-nutter-delivers-final-state-of-the-city-address/496587/,https://web.archive.org/web/20170123173824/https://cityofphiladelphia.wordpress.com/2015/01/29/mayor-nutter-addresses-the-greater-philadelphia-chamber-of-commerce-at-the-annual-mayoral-luncheon-2/
philadelphia_2016,Philadelphia,Jim Kenney,2016-01-04,2016,Yes,Yes,Inaugural Speech,Inaugural speech,https://beta.phila.gov/news/mayor/mayor-kenney-delivers-inaugural-address/
philadelphia_2017,Philadelphia,Jim Kenney,2017-02-02,2017,Yes,Yes,State of the City,NA,https://beta.phila.gov/press-releases/mayor/mayor-kenney-delivers-second-chamber-of-commerce-address/
phoenix_2015,Phoenix,Greg Stanton,2015-04-08,2015,Yes,Yes,State of the City,NA,https://www.phoenix.gov/mayorsite/Documents/SOTC2015.pdf
phoenix_2016,Phoenix,Greg Stanton,2016-04-19,2016,Yes,Yes,State of the City,NA,https://www.phoenix.gov/mayorsite/Documents/2016%20SOTC.pdf
phoenix_2017,Phoenix,Greg Stanton,2017-04-25,2017,Yes,Yes,State of the City,NA,https://www.phoenix.gov/mayorsite/Documents/2017%20SOTC%20AS%20PREPARED%20FOR%20DELIVERY.pdf
san_antonio_2015,San Antonio,Ivy R. Taylor,2015-03-03,2015,Yes,Yes,State of the City,NA,http://therivardreport.com/mayor-taylor-state-city-strong/
san_antonio_2016,San Antonio,Ivy R. Taylor,2016-03-22,2016,Yes,Yes,State of the City,NA,https://www.sanantonio.gov/Portals/0/Files/Mayor/Mar2016MayorSpeech.pdf
san_antonio_2017,San Antonio,Ivy R. Taylor,2017-04-19,2017,Yes,Yes,State of the City,NA,http://www.expressnews.com/file/209/0/2090-2017%20State%20of%20the%20City.pdf
san_diego_2015,San Diego,Kevin L. Faulconer,2015-01-14,2015,Yes,Yes,State of the City,NA,https://www.sandiego.gov/mayor/news/releases/20150114_SOTC
san_diego_2016,San Diego,Kevin L. Faulconer,2016-01-14,2016,Yes,Yes,State of the City,NA,https://www.sandiego.gov/mayor/news/releases/20160114_StateoftheCityAddress
san_diego_2017,San Diego,Kevin L. Faulconer,2017-01-12,2017,Yes,Yes,State of the City,NA,https://www.sandiego.gov/mayor/news/releases/mayor-kevin-l-faulconers-2017-state-city-address-prepared-remarks
san_francisco_2015,San Francisco,Edwin M. Lee,2015-01-15,2015,Yes,Yes,State of the City,NA,http://sfmayor.org/index.aspx?page=1029
san_francisco_2016,San Francisco,Edwin M. Lee,2016-01-08,2016,Yes,Yes,Inaugural Speech,Inaugural speech,http://sfmayor.org/mayor-edwin-m-lee-inaugural-address
san_francisco_2017,San Francisco,Edwin M. Lee,2017-01-26,2017,Yes,Yes,State of the City,NA,http://sfmayor.org/remarks-prepared-delivery-mayor-edwin-m-lee-2017-state-city-0
san_jose_2015,San Jose,Sam Liccardo,2015-03-14,2015,Yes,Yes,State of the City,NA,https://www.sanjoseca.gov/DocumentCenter/View/41359
san_jose_2016,San Jose,Sam Liccardo,2016-03-05,2016,Yes,Yes,State of the City,NA,http://www.sanjoseca.gov/DocumentCenter/View/54769
san_jose_2017,San Jose,Sam Liccardo,2017-02-11,2017,Yes,Yes,State of the City,NA,http://www.sanjoseca.gov/DocumentCenter/View/66111
seattle_2015,Seattle,Edward B. Murray,2015-02-17,2015,Yes,No,State of the City,NA,http://murray.seattle.gov/mayor-murrays-state-of-the-city-speech-as-prepared/
seattle_2016,Seattle,Edward B. Murray,2016-02-16,2016,Yes,No,State of the City,NA,http://murray.seattle.gov/wp-content/uploads/2016/02/FINAL-SPEECH-2016-State-of-the-City-1-1.pdf
seattle_2017,Seattle,Edward B. Murray,2017-02-21,2017,Yes,No,State of the City,NA,http://murray.seattle.gov/state-of-the-city-2017/
